,unique,name,transportation,aid,population,education,graduation,reduced_lunch,homeless,multilingual,tax,budget_cuts ,gender,percent_of _low_income_students,funding,salary
Bergen,5160,Tenafly Boro,"427,118","4,327,847",3421.5,"3,905,029",98.4,22,0,224,1,1,0,3,1,1
Bergen,5330,Upper Saddle River Boro,"180,950","1,360,208",1094,"1,223,527",81,0,2,21,0,1,0,1,1,1
Bergen,5410,Waldwick Boro,"199,527","2,425,057",1584.5,"1,350,999",91.2,5,3,38,0,1,1,1,1,0
Bergen,5430,Wallington Boro,"167,987","7,556,726",1176,"1,472,628",94.9,110,5,130,1,0,1,33,1,0
Bergen,5755,Westwood Regional,"432,010","3,608,050",2781.5,"3,245,643",94.7,63.5,5,71,1,1,0,10,1,0
Bergen,5830,Wood-Ridge Boro,"118,852","1,499,521",1227,"1,362,731",90.7,36,0,55,1,1,1,12,1,0
Bergen,5880,Woodcliff Lake Boro,"71,076","897,254",773,"901,161",93,0,0,6,0,1,0,1,1,0
Bergen,5920,Wyckoff Twp,"302,334","2,601,035",2016,"2,410,421",81.9,0,0,23,0,1,1,1,1,0
Burlington,200,Bass River Twp,"102,864","624,562",,"88,200",86,36,0,37,0,1,0,30,0,0
Burlington,380,Beverly City,"193,173","6,380,701",334,"182,606",94.1,79,12,41,1,0,1,50,0,0
Burlington,475,Bordentown Regional,"729,374","9,828,082",2209,"1,470,071",95,231,86,101,0,1,1,16,1,0
Burlington,600,Burlington City,"205,655","22,124,573",1821,"935,688",80.3,181,3,25,1,0,1,55,0,1
Burlington,610,Burlington Co Vocational,0,"17,162,374",2069,"2,347,381",96.9,26,9,1,0,1,1,16,0,1
Burlington,620,Burlington Twp,"2,029,241","26,963,177",3623,"3,912,302",93.3,260,53,101,0,1,1,30,0,1
Burlington,830,Chesterfield Twp,"143,738","3,517,260",692,"654,710",70.2,2,0,20,0,1,0,3,1,0
Burlington,840,Cinnaminson Twp,"749,371","19,342,148",2900,"3,359,555",92.4,118,14,122,1,1,1,14,1,1
Burlington,1030,Delanco Twp,"48,300","2,716,007",360,"424,961",63.8,44,1,10,1,0,1,33,0,1
Burlington,1060,Delran Twp,"807,641","26,723,560",2852,"3,237,519",94.5,173,13,306,0,1,1,24,0,0
Burlington,1250,Eastampton Twp,0,"4,128,481",592,"603,831",96.9,32,1,3,1,0,0,23,0,0
Burlington,1280,Edgewater Park Twp,"470,640","14,156,311",1008,"1,335,208",92.9,102,13,240,1,1,1,51,0,1
Burlington,1420,Evesham Twp,"546,377","6,773,130",4467,"3,024,808",70.5,70,3,85,0,1,1,9,1,1
Burlington,1520,Florence Twp,"485,346","12,042,231",1445,"1,808,991",92.4,120,17,59,0,1,1,33,0,1
Burlington,1910,Hainesport Twp,"137,699","733,146",532,"489,983",74.4,7,6,5,0,0,1,10,1,0
Burlington,2610,Lenape Regional,"874,930","23,623,885",6485,"4,238,655",95.9,229,11,46,0,1,1,11,1,1
