,unique,name,transportation,aid,population,education,graduation,reduced_lunch,homeless,multilingual,tax,budget_cuts ,gender,percent_of _low_income_students,funding,salary
Hudson,2210,Hoboken City,"124,453","7,394,852",3501,"2,123,972",92.7,863,325,243,1,1,1,29,0,1
Hudson,2295,Hudson County Vocational,"818,768","22,673,936",2526.5,"2,462,876",98.5,10,0,9,0,1,0,43,0,0
Hudson,2390,Jersey City,"4,423,777","133,637,556",26023,"18,332,551",80.1,45,0,11,1,1,1,53,0,1
Hudson,2410,Kearny Town,"750,017","68,284,766",5381,"6,821,799",90.7,29,0,48,0,1,,,,
Hudson,3610,North Bergen Twp,"747,436","61,841,569",7114,"7,899,719",81.6,29,0,0,1,1,1,57,0,0
Hudson,4730,Secaucus Town,"728,799","3,142,250",2182,"2,540,272",95.5,43,0,68,1,1,1,26,1,1
Hudson,5240,Union City,"715,581","226,682,966",12665,"13,470,227",92.1,49,0,0,1,1,1,76,0,0
Hudson,5580,Weehawken Twp,"150,232","1,752,691",1308,"1,039,474",98,19,0,7,1,1,0,40,1,0
Hudson,5670,West New York Town,"1,222,014","126,700,785",7923,"8,540,440",82.7,8,1,20,1,1,1,77,0,1
Hunterdon,20,Alexandria Twp,"193,439","976,818",423,"468,512",95.8,39,1,11,0,1,1,4,1,1
Hunterdon,370,Bethlehem Twp,"113,737","706,210",362,"364,862",73.5,5,0,3,0,1,1,3,1,0
Hunterdon,430,Bloomsbury Boro,0,"969,043",98,"125,050",88.6,63,0,0,0,1,1,23,0,0
Hunterdon,670,Califon Boro,"13,884","113,620",84,"83,292",95.8,18,2,4,0,1,0,3,0,1
Hunterdon,910,Clinton Town,"101,114","981,728",462,"409,511",97,84,87,2289,1,1,1,7,1,0
Hunterdon,920,Clinton Twp,"856,058","2,270,220",1174,"1,324,985",95.8,43,0,0,1,1,1,7,1,0
Hunterdon,1040,Delaware Twp,"167,383","973,253",406,"360,951",78,63,5,0,0,1,1,7,1,1
Hunterdon,1050,Delaware Valley Regional,"17,291","1,434,280",665,"592,662",96.2,94,5,41,0,1,1,6,1,1
Hunterdon,1160,East Amwell Twp,"181,957","875,325",378,"373,946",95.8,31,8,16,0,0,0,11,1,1
Hunterdon,1376,South-Hunterdon,"414,679","2,929,849",774,"833,664",86.4,18,5,1,0,1,1,24,1,0
Hunterdon,1510,Flemington-Raritan Reg,"297,208","5,546,642",3160,"3,231,931",76.2,27,6,65,0,0,1,19,1,0
Hunterdon,1600,Franklin Twp,"140,804","549,627",271,"308,724",76.2,9,4,1,1,1,1,10,1,1
Hunterdon,1680,Frenchtown Boro,0,"295,215",101,"65,461",98.5,59,1,11,0,1,0,15,0,1
Hunterdon,1970,Hampton Boro,"69,644","931,138",111,"161,712",95.8,30,11,16,0,1,1,19,0,0
Hunterdon,2140,High Bridge Boro,"14,338","750,671",351,"275,401",95.8,17,1,0,1,1,1,14,0,1
Hunterdon,2220,Holland Twp,"36,300","1,014,252",512,"530,185",95.8,486,112,162,0,0,0,6,1,0
Hunterdon,2300,Hunterdon Central Reg,"326,420","4,617,137",2374,"1,858,075",94.3,8,1,0,0,1,1,14,1,1
Hunterdon,2308,Hunterdon Co Vocational,0,"933,283",578.5,"303,733",100,72,1,60,1,1,0,3,0,0
Hunterdon,2450,Kingwood Twp,"166,282","775,372",344,"332,287",95.8,805,179,1669,0,1,1,13,1,1
Hunterdon,2590,Lebanon Boro,"25,927","155,856",89,"110,746",65,598,9,599,0,0,0,13,1,0
Hunterdon,2600,Lebanon Twp,"320,578","1,367,148",558,"448,913",55.5,381,3,362,0,1,1,8,1,0
Hunterdon,3180,Milford Boro,"45,097","193,255",66,"88,207",74.8,37,0,84,1,1,1,13,1,0
Hunterdon,3660,N Hunt/Voorhees Regional,"267,039","3,614,102",1920,"1,755,029",97,18,0,35,1,0,1,3,1,0
Hunterdon,4350,Readington Twp,"994,744","2,409,287",1397,"1,609,773",95.4,413,43,652,0,1,1,10,1,0
Hunterdon,5180,Tewksbury Twp,"462,627","1,389,219",483,"551,292",79,297.5,3,159,1,0,1,2,0,1
Hunterdon,5270,Union Twp,"233,413","660,745",473,"536,591",22.3,0,0,0,0,1,1,2,1,0
Mercer,1245,East Windsor Regional,"2,095,914","48,573,275",5067,"4,919,011",92.1,1,3,2,1,0,1,37,1,1
Mercer,1430,Ewing Twp,"1,023,175","25,216,765",3500,"3,981,484",84.7,5,1,18,0,1,1,45,1,1
Mercer,1950,Hamilton Twp,"5,204,555","109,271,095",12098,"14,654,032",91.3,1,0,7,1,1,1,41,0,0
Mercer,2280,Hopewell Valley Regional,"1,865,797","5,887,975",3386.5,"3,919,016",97,424,21,2629,0,1,1,4,1,1
Mercer,2580,Lawrence Twp,"1,736,843","6,442,083",3675,"4,279,301",95.1,29,4,130,`,1,1,29,1,0
Mercer,3105,Mercer County Vocational,0,"5,709,048",583,"808,378",96.9,9,2,92,0,1,0,49,1,1
Mercer,4255,Princeton,"872,203","5,348,358",3767,"4,411,650",91.5,139.5,43,110,1,1,1,12,1,1
Mercer,5210,Trenton City,"4,524,728","336,330,541",14935,"13,190,389",61.3,3303,148,10250,0,1,1,52,0,1
Mercer,5510,Robbinsville Twp,"1,168,077","10,119,558",2968.5,"2,787,359",96.8,0,0,0,0,1,1,6,1,0
Mercer,5715,W Windsor-Plainsboro Reg,"4,376,339","14,493,990",8923.5,"10,315,909",97,87,1,136,0,1,1,6,1,0
Middlesex,750,Carteret Boro,"567,504","49,821,220",3942.5,"4,488,916",91.9,40,36,1358,0,1,,,,
Middlesex,970,Cranbury Twp,"286,778","1,038,913",438,"746,932",45.1,2,0,9,0,1,1,7,1,0
Middlesex,1140,Dunellen Boro,"76,133","15,939,663",1348,"1,589,062",92.5,150,18,114,0,1,1,41,0,1
Middlesex,1170,East Brunswick Twp,"1,555,315","39,826,250",8122,"9,239,567",96,0,1,14,1,1,1,21,1,1
Middlesex,1290,Edison Twp,"5,582,680","73,507,998",16811,"19,749,765",92.8,15,1,6,0,1,1,20,1,1
Middlesex,2150,Highland Park Boro,"240,771","6,416,165",1596,"1,695,651",92.2,512,18,431,0,1,1,40,1,0
Middlesex,2370,Jamesburg Boro,"95,407","10,893,725",696,"1,054,492",89.7,130,39,30,0,1,1,54,0,0
Middlesex,3120,Metuchen Boro,"373,002","2,880,618",2284,"2,599,617",97.8,49,3,5,0,1,1,6,1,1
Middlesex,3140,Middlesex Boro,"342,380","14,832,456",2067.5,"2,394,577",95.9,50,29,18,1,1,1,32,0,1
Middlesex,3150,Middlesex Co Vocational,0,"19,381,915",2129,"2,467,805",98.4,265,37,106,0,1,0,41,0,0
Middlesex,3220,Milltown Boro,"302,474","5,553,394",806,"1,384,021",89.7,16,0,3,0,1,0,15,1,0
Middlesex,3290,Monroe Twp,"3,999,704","11,170,497",6857.5,"7,593,810",94.2,11,15,6,0,0,1,8,1,1
Middlesex,3530,New Brunswick City,"2,227,265","185,885,120",9218,"10,581,539",73.9,72,13,2,1,1,1,75,0,1
Middlesex,3620,North Brunswick Twp,"3,334,413","46,649,823",5925,"7,000,658",94.8,97,18,131,0,0,1,36,1,0
Middlesex,3845,Old Bridge Twp,"1,049,333","26,870,989",7923,"5,572,334",93.9,23,9,4,0,1,1,21,0,1
Middlesex,4090,Perth Amboy City,"1,824,098","204,876,489",10229.5,"11,643,354",85.6,55.5,1,0,0,1,1,80,0,0
Middlesex,4130,Piscataway Twp,"3,834,125","21,836,042",7294.5,"7,923,339",94.9,25,3,0,1,1,1,34,1,1
Middlesex,4660,Sayreville Boro,"2,537,473","41,503,852",6385,"6,817,587",89.9,21,0,4,0,1,1,34,0,0
Middlesex,4830,South Amboy City,"270,897","8,374,855",1173.5,"1,354,730",94.9,117,11,36,0,1,1,43,0,1
Middlesex,4860,South Brunswick Twp,"2,155,118","15,684,951",7878,"5,479,892",95.8,48,2,6,0,1,1,12,1,0
Middlesex,4910,South Plainfield Boro,"305,134","16,357,405",3653,"3,270,905",93.3,40,7,10,0,1,1,26,1,0
Middlesex,4920,South River Boro,"502,357","28,828,110",2451,"2,790,011",93.9,404,56,131,0,1,0,52,0,0
Middlesex,4970,Spotswood,"278,481","6,603,982",1671,"1,485,448",94.2,39,7,3,0,0,1,15,0,0
Middlesex,5850,Woodbridge Twp,"4,389,122","103,258,413",13886.5,"16,388,570",92,92.5,50,12,0,1,1,37,1,0
Monmouth,50,Allenhurst,"19,617","39,274",,"11,425",94.4,52,5,15,1,1,,,,
Monmouth,100,Asbury Park City,"478,668","20,702,767",1404.5,"1,858,487",75.6,2,2,1,1,1,1,44,0,1
Monmouth,130,Atlantic Highlands Boro,0,"309,066",245,0,99,87,8,59,0,1,1,11,1,1
Monmouth,180,Avon Boro,"63,965","170,683",116,"74,630",94.4,33,6,25,1,0,0,14,1,0
Monmouth,270,Belmar Boro,"181,768","727,912",398,"395,804",94.4,268,39,80,0,0,1,51,1,0
Monmouth,500,Bradley Beach Boro,"85,575","461,097",196,"189,718",94.4,0,0,0,0,1,1,51,1,0
Monmouth,560,Brielle Boro,"121,930","871,767",478,"747,273",86.1,162,18,40,0,1,1,2,1,1
Monmouth,945,Colts Neck Twp,"652,097","1,835,151",979,"1,076,175",99,42,21,10,0,1,1,4,1,1
Monmouth,1000,Deal Boro,"32,959","2,544,641",152,"185,138",90.6,102,42,111,1,1,0,22,0,0
Monmouth,1260,Eatontown Boro,"259,295","1,742,104",1006,"786,880",90.6,7,7,0,1,0,1,38,0,0
Monmouth,1440,Fair Haven Boro,"46,572","1,099,538",956,"1,095,516",98,673,49,716.5,1,0,1,1,1,1
Monmouth,1456,Henry Hudson Regional,"245,687",0,302,"706,178",94,23,12,62,0,0,1,18,1,0
Monmouth,1490,Farmingdale Boro,"5,923","541,292",171,"142,148",96,131,8,242,1,0,1,23,0,0
Monmouth,1640,Freehold Boro,"407,350","25,405,122",1586,"1,733,963",96.2,415,14,747,0,1,1,70,0,0
Monmouth,1650,Freehold Regional,"1,816,395","30,550,220",9981,"7,030,185",97,100,35,44,0,0,1,14,0,1
Monmouth,1660,Freehold Twp,"709,345","5,277,991",3453,"3,801,658",96,243,0,14.5,1,1,1,12,1,0
Monmouth,2105,Hazlet Twp,"91,986","6,795,610",2662,"1,936,203",96.2,982,504,3713,1,1,1,17,0,0
Monmouth,2120,Henry Hudson Regional,0,"499,068",302,0,100,625,24,844,1,1,1,18,1,0
Monmouth,2160,Highlands Boro,0,"229,270",160,0,46.9,638,8,1375,0,1,1,38,1,1
Monmouth,2230,Holmdel Twp,"1,628,836","4,725,189",2878.5,"3,235,763",99.1,142,4,111,0,1,1,2,1,0
Monmouth,2290,Howell Twp,"903,761","20,601,309",5714,"5,257,622",96,1358,54,4504,0,0,1,20,0,1
Monmouth,2320,Interlaken,"38,044","119,452",,"72,551",94.4,77,8,129,1,1,,,,
Monmouth,2400,Keansburg Boro,"334,763","24,300,776",1525,"1,023,215",82.9,828,9,1389,0,1,1,45,0,1
Monmouth,2430,Keyport Boro,"64,629","4,800,107",971.5,"892,374",91.2,13,1,6,1,1,0,38,0,0
Monmouth,2720,Little Silver Boro,"71,696","875,998",716,"761,058",94.4,4,0,4,0,1,0,1,1,0
Monmouth,2770,Long Branch City,"1,003,772","54,218,602",5319.5,"4,927,953",94.5,3,1,0,0,0,1,75,0,0
Monmouth,2920,Manalapan-Englishtown Reg,"1,968,298","8,154,718",4635,"3,789,745",96,0,0,0,0,0,1,9,0,0
Monmouth,2930,Manasquan Boro,"76,841","873,431",1433,"751,220",96.2,27,0,21,1,0,0,10,1,0
Monmouth,3030,Marlboro Twp,"1,189,069","7,498,856",4483,"3,934,546",97,7,0,14,1,1,1,2,1,1
Monmouth,3040,Matawan-Aberdeen Regional,"954,542","14,246,781",3971,"4,171,667",86.1,4,0,4,0,1,1,22,1,0
Monmouth,3160,Middletown Twp,"3,160,000","13,200,485",8766.5,"7,808,990",94.6,13,2,6,1,1,1,11,1,1
Monmouth,3200,Millstone Twp,"921,823","2,941,663",1165,"1,438,126",94,10,7,7,1,1,1,2,1,0
Monmouth,3250,Monmouth Beach Boro,"30,330","234,592",258,"213,447",94.4,134,12,276,0,1,0,1,1,0
Monmouth,3260,Monmouth Co Vocational,0,"8,120,555",2061,"1,572,980",99.7,2,0,0,0,1,0,1,0,0
Monmouth,3270,Monmouth Regional,"669,909","1,843,991",892,"836,537",92.3,0,1,5,0,0,0,27,1,1
Monmouth,3500,Neptune City,"56,921","716,560",17,"348,450",76,9,0,0,0,1,0,47,0,0
Monmouth,3510,Neptune Twp,"1,589,446","12,775,170",280,"2,404,326",82.3,16,3,8,1,1,0,38,0,0
Monmouth,3810,Ocean Twp,"1,729,784","5,563,580",3322,"2,550,341",94.2,13,1,2,1,1,0,31,0,0
Monmouth,3830,Oceanport Boro,"286,513","811,452",565,"616,603",79.8,66,4,119,0,1,0,6,1,1
Monmouth,4360,Red Bank Boro,"189,188","8,776,601",1220,"1,208,304",93,10.5,0,1,1,1,1,74,0,0
Monmouth,4365,Red Bank Regional,"329,380","1,787,169",1275.5,"1,313,168",94.3,4,0,0,1,1,0,25,1,0
Monmouth,4520,Roosevelt Boro,"63,927","946,764",87,"114,840",94,4,1,0,0,1,1,58,0,1
Monmouth,4570,Rumson Boro,"113,682","1,042,247",919,"972,180",98,15,0,14,1,1,1,1,1,0
Monmouth,4580,Rumson-Fair Haven Reg,"274,521","1,275,361",848,"946,260",97,4,0,0,0,1,1,0,1,1
Monmouth,4690,Sea Girt Boro,"13,842","149,542",138,"132,485",94.4,20.5,2,5,1,0,1,2,1,1
Monmouth,4760,Shore Regional,"297,234","891,348",547.5,"582,967",96,32,0,29,1,0,1,8,1,1
Monmouth,4770,Shrewsbury Boro,"14,089","525,747",453,"510,892",82.2,48.5,5,53,0,1,1,1,1,0
Monmouth,4840,Lake Como,"78,805","239,631",,"94,929",87.2,1,0,1,0,1,,,,
Monmouth,4980,Spring Lake Boro,"69,313","276,636",141,"175,850",80.9,3,0,9,1,0,1,2,1,0
Monmouth,4990,Spring Lake Heights Boro,"75,916","534,142",262,"438,845",94.4,55,8,26.5,0,1,1,6,1,1
Monmouth,5185,Tinton Falls,"982,013","2,532,454",1364,"1,205,921",94.4,512.5,28.5,939.5,0,1,0,15,1,1
Monmouth,5230,Union Beach,"38,322","5,725,773",606,"829,691",56.3,344.5,39,270,1,1,0,28,0,0
Monmouth,5310,Upper Freehold Regional,"431,910","4,087,342",2018.5,"997,218",95.6,1105,128,855.5,0,1,1,6,1,1
Monmouth,5420,Wall Twp,"1,879,121","5,302,925",3139.5,"3,569,496",97.2,34,1,38.5,0,1,1,10,1,0
Monmouth,5640,West Long Branch Boro,"337,125","744,380",567,"551,386",90.6,282.5,21,186,0,1,1,14,1,0
Monmouth,5645,Loch Arbour,"9,789","22,137",,"11,733",96,6,4,9,1,1,,,,
Morris,450,Boonton Town,"114,513","3,888,199",1520.5,"1,350,406",93,8,15,6,1,0,1,31,1,0
Morris,460,Boonton Twp,"202,852","873,055",407,"682,623",92,84,3.5,222,0,0,1,2,1,1
Morris,630,Butler Boro,"215,738","3,379,908",1161,"1,011,654",96.5,44.5,3,21,1,1,1,24,1,1
Morris,785,Sch Dist Of The Chathams,"921,324","4,780,762",3518.5,"3,910,241",97.4,282.5,276,5301,0,0,1,1,1,1
Morris,820,Chester Twp,"630,294","1,666,101",1024,"1,150,071",57.1,107.5,2,345,1,0,1,4,1,0
Morris,1090,Denville Twp,"1,221,546","2,916,066",1690,"2,003,349",90,476.5,7,726,0,0,1,3,1,1
Morris,1110,Dover Town,"882,802","56,526,760",3484.5,"3,769,265",79.3,7,0,22,1,0,1,55,0,1
Morris,1190,East Hanover Twp,"495,285","1,355,808",994,"1,179,750",95.1,100,1,218,0,0,1,2,1,0
Morris,1530,Florham Park Boro,"256,714","1,272,647",939,"1,083,293",83.8,497,43,308,`,0,1,1,1,0
Morris,1990,Hanover Park Regional,"779,456","2,276,263",1275,"1,483,962",97.9,834,127,1008,0,0,1,3,1,0
Morris,2000,Hanover Twp,"239,688","1,719,210",1226,"1,439,444",82.2,28,6,31,1,1,1,6,1,0
Morris,2010,Harding Township,"319,770","716,619",298,"416,843",84.2,110,30,158,0,1,0,3,1,0
Morris,2380,Jefferson Twp,"636,026","5,105,647",2641,"2,137,733",93.4,87,1,183,0,1,1,12,0,0
Morris,2460,Kinnelon Boro,"1,000,531","2,767,647",1645.5,"1,899,472",99.3,31,2,63,0,1,1,3,1,1
Morris,2650,Lincoln Park Boro,"663,485","2,009,872",888,"1,446,863",81.1,222,12.5,175,0,0,1,16,1,0
Morris,2870,Madison Boro,"442,095","3,082,108",2464,"2,782,430",95.3,219,0.5,11,0,1,,,,
Morris,3090,Mendham Boro,"47,259","570,877",488,"545,658",98,39,1,45,0,1,1,2,1,0
Morris,3100,Mendham Twp,"483,349","1,268,851",788,"912,637",98,153.5,8,185,1,1,0,1,1,1
Morris,3240,Mine Hill Twp,"171,868","3,682,378",367,"571,326",42.3,420,253,3626,0,1,0,26,0,0
Morris,3340,Montville Twp,"1,257,119","5,136,781",3413,"4,006,699",96.1,561,28,451,0,1,1,2,1,0
Morris,3365,Morris County Vocational,0,"1,816,157",1521,"1,339,057",100,439,4,214,0,1,0,4,0,1
Morris,3370,Morris Hills Regional,"554,744","12,103,090",2589.5,"3,061,117",93.4,887,60,3608,0,1,1,18,1,1
Morris,3380,Morris Plains Boro,"210,587","1,369,763",600,"1,023,934",96.2,773,40,595,1,1,0,7,1,0
Morris,3385,Morris School District,"2,091,300","9,133,936",5620,"5,913,590",84.5,549.5,18,328,0,1,0,7,1,0
Morris,3410,Mount Arlington Boro,"267,090","868,905",350,"608,425",95.1,125,7,72,0,1,1,17,1,1
Morris,3450,Mount Olive Twp,"3,710,681","34,706,288",4812,"5,631,638",97.3,275,30,337,0,0,1,17,1,1
Morris,3460,Mountain Lakes Boro,"78,377","1,302,638",1321,"1,179,750",100,288,21,174,1,1,1,2,1,1
Morris,3520,Netcong Boro,"28,637","2,447,355",280,"319,052",95,194,18,520,0,1,1,42,0,0
Morris,3950,Parsippany-Troy Hills Twp,"2,648,388","10,592,617",7149.5,"8,376,968",95.6,69,3,58,0,1,1,14,1,1
Morris,4000,Long Hill Twp,"330,906","1,258,184",854,"994,255",57.1,1284.5,75,1010,0,1,1,6,1,1
Morris,4080,Pequannock Twp,"124,035","2,598,121",2082,"2,093,930",97.2,0,40.5,297,1,1,1,5,1,1
Morris,4330,Randolph Twp,"1,249,097","6,957,114",4249.5,"3,647,597",99.1,6,0,18,0,1,1,9,1,0
Morris,4440,Riverdale Boro,"128,697","599,980",287,"474,868",95.1,5,0,2,0,1,0,11,1,0
Morris,4480,Rockaway Boro,"60,781","2,067,164",554,"513,091",74.1,1,0,0,0,1,1,21,1,0
Morris,4490,Rockaway Twp,"549,225","4,031,485",2420,"2,849,208",79,47,6,68,0,0,1,13,1,1
Morris,4560,Roxbury Twp,"558,875","8,735,207",3325.5,"2,433,575",92.8,21,0,59,0,1,1,15,1,0
Morris,5520,Washington Twp,"457,507","3,685,673",2007,"1,649,037",93,3,1,7,0,1,1,18,0,0
Morris,5660,West Morris Regional,"1,396,979","3,814,662",2048.5,"2,262,268",95.5,7,0,14,0,1,1,1,1,1
Morris,5770,Wharton Boro,"63,433","7,793,683",758,"831,019",90.6,8,0,0,1,1,1,49,0,0
Ocean,185,Barnegat Twp,"688,832","25,694,371",3601.5,"3,647,121",88.2,85,7,78,1,1,1,33,0,0
Ocean,210,Bay Head Boro,"9,449","81,693",120,"57,670",98,0,0,1,0,1,1,2,1,1
Ocean,230,Beach Haven Boro,"1,803","342,149",63,"53,987",90.6,5,0,2,1,1,1,4,1,1
Ocean,320,Berkeley Twp,"912,934","3,498,416",2394,"2,306,860",69.7,193,5,381,0,1,1,29,0,1
Ocean,530,Brick Twp,"4,922,064","14,632,033",8099.5,"5,784,673",94.1,252.5,27,229.5,0,1,1,34,0,0
Ocean,770,Central Regional,"1,442,092","5,661,413",2197.5,"2,476,170",89.8,77,6,49,0,1,1,36,1,1
Ocean,1150,Eagleswood Twp,"59,476","562,892",150,"91,218",66.5,136,5,28,0,1,0,17,0,0
Ocean,2350,Island Heights Boro,"11,068","358,554",135,"116,898",93.2,8,1,8,1,0,1,2,1,0
Ocean,2360,Jackson Twp,"601,355","27,861,779",7482.5,"5,211,500",94.1,9,0,11,1,1,1,28,0,0
Ocean,2480,Lacey Twp,"228,519","10,470,890",3715.5,"2,504,516",91.8,9,0,41,1,0,1,25,0,0
Ocean,2500,Lakehurst Boro,"80,050","6,864,309",404,"514,987",93.2,265,27,305,0,1,1,54,0,0
Ocean,2520,Lakewood Twp,"4,471,500","26,575,697",4201.5,"5,347,332",82.7,14,31.5,55,1,1,1,83,0,0
Ocean,2550,Lavallette Boro,"56,079","166,096",160,"97,166",93.2,85.5,1,120.5,0,1,0,11,1,0
Ocean,2690,Little Egg Harbor Twp,"1,038,502","8,834,762",1676,"994,903",92,1,0,0,0,0,1,47,0,0
Ocean,2760,Long Beach Island,"69,509","838,484",189,"156,618",93.2,580,413.5,1472,1,0,1,11,1,0
Ocean,2940,Manchester Twp,"1,989,096","5,372,064",2898.5,"2,640,657",95.5,127,3,110,1,1,1,40,1,0
Ocean,3790,Ocean County Vocational,0,"5,585,095",1426.5,"846,211",97.9,23,3,22.5,1,1,0,8,0,0
Ocean,3800,Ocean Gate Boro,"4,607","382,276",133,"85,038",93.2,82,0,151,0,0,1,54,0,0
Ocean,3820,Ocean Twp,"443,920","1,748,949",581,"541,176",99,201,20,144,0,0,0,31,0,0
Ocean,4105,Pinelands Regional,"898,788","11,943,782",1534.5,"1,151,991",90.3,205.5,21.5,49,0,0,1,40,0,0
Ocean,4190,Plumsted Twp,0,"4,889,715",1122,"975,623",85.7,7,0,7,1,1,1,15,0,0
Ocean,4210,Point Pleasant Boro,"41,071","3,567,363",629.5,"1,776,466",96.7,0,0,0,0,0,1,10,0,1
Ocean,4220,Point Pleasant Beach,"71,924","610,581",2615.5,"441,868",100,47,7,14.5,1,0,1,14,1,1
Ocean,4710,Seaside Heights Boro,"11,203","441,817",177,"153,976",80.4,46.5,12,48,0,1,0,77,0,1
Ocean,4720,Seaside Park Boro,"30,123","65,153",2671,"12,234",93.2,2,1,0,0,1,,,,
Ocean,4950,Southern Regional,"1,367,568","3,935,969",2586,"2,560,826",89.7,16,2,38,0,1,1,19,1,1
Ocean,5020,Stafford Twp,"507,193","5,300,798",14289.5,"1,288,981",66.1,358,82.5,254.5,1,0,0,18,0,0
Ocean,5190,Toms River Regional,"5,458,073","30,978,802",303,"9,865,327",89.5,8,0,8,1,1,1,31,0,0
Ocean,5220,Tuckerton Boro,"35,403","2,089,930",641,"207,010",93.2,139,2,521,0,1,0,51,0,1
Passaic,420,Bloomingdale Boro,"102,123","1,239,062",10904,"634,876",85.2,80,2.5,83,1,1,0,18,1,1
Passaic,900,Clifton City,"3,020,309","90,456,020",1005,"12,828,969",84.3,2,0,0,1,0,1,64,1,0
Passaic,1920,Haledon Boro,"86,264","13,637,130",2177,"1,088,912",82,2,0,0,0,0,1,65,0,0
Passaic,2100,Hawthorne Boro,"581,539","4,778,522",840,"2,015,353",91.1,1,0,1,0,0,1,32,0,1
Passaic,2510,Lakeland Regional,"106,500","1,746,442",932,"687,768",96.6,0,0,0,0,1,1,7,1,0
Passaic,2700,Little Falls Twp,"231,620","1,233,022",615,"1,038,433",93.4,16.5,1,8.5,0,1,1,17,1,0
Passaic,3640,North Haledon Boro,"85,420","722,334",75,"699,500",80.4,0,0,0,1,0,1,12,1,0
Passaic,3970,Passaic City,"1,978,076","272,108,020",12084,"12,147,460",75.2,0,1,0,1,0,1,95,0,1
Passaic,3980,Passaic Co Manchester Reg,"281,548","14,214,522",819,"973,531",82.7,5,0,0,0,0,1,67,0,1
Passaic,3990,Passaic Valley Regional,"729,435","2,153,850",4545,"1,063,236",93.2,39,12,34,1,1,1,31,1,1
Passaic,3995,Passaic County Vocational,0,"66,796,098",1060,"5,401,292",99.2,204.5,26,229.5,1,0,0,53,1,1
Passaic,4010,Paterson City,"7,171,740","529,272,462",24090,"32,090,452",82.2,48,2,7,0,0,1,61,0,0
Passaic,4230,Pompton Lakes Boro,"176,038","10,026,664",1714,"1,546,235",96.5,29.5,0,23,1,0,1,20,1,1
Passaic,4270,Prospect Park Boro,"64,723","11,341,345",814,"928,712",70.7,71,14,63,0,1,1,56,0,1
Passaic,4400,Ringwood Boro,"573,133","1,733,616",1022,"1,077,662",42.3,14,1,41,1,1,1,8,1,0
Passaic,5200,Totowa Boro,"150,414","1,110,677",916,"980,742",81.4,72.5,7,117,1,1,0,19,1,0
Passaic,5440,Wanaque Boro,"11,642","1,327,463",883,"633,966",87.4,0,0,0,0,0,1,21,1,1
Passaic,5570,Wayne Twp,"2,774,127","10,517,516",7654,"8,740,141",96.9,70,8,71,0,0,1,8,1,0
Passaic,5650,West Milford Twp,"842,009","5,571,517",2950,"2,725,234",95.5,13,1,30,1,1,1,17,1,1
Passaic,5690,Woodland Park,"249,320","2,747,157",1276,"1,283,618",32.5,0,6,35,1,1,1,41,1,0
Salem,60,Alloway Twp,"218,309","2,505,810",289,"370,315",37,466.5,50,1100.5,0,1,0,11,0,0
Salem,1350,Elsinboro Twp,"64,294","1,553,523",112,"90,502",94,0,1,17,0,1,0,56,0,0
Salem,2800,Lower Alloways Creek,"135,665","327,920",173,"140,313",91.9,0,0,0,1,0,1,16,1,0
Salem,2950,Mannington Twp,"117,432","243,637",161,"121,032",84,4,0,14,0,1,1,19,1,0
Salem,3860,Oldmans Twp,"136,526","2,626,960",286,"307,805",90.2,8.5,3,33,1,1,1,20,0,0
Salem,4070,Penns Grv-Carneys Pt Reg,"901,086","35,760,709",2201,"2,418,911",94.2,0,14,32,0,0,1,66,0,1
Salem,4075,Pennsville,"748,449","16,771,399",1814.5,"1,916,740",89.1,0,0,0,0,1,1,37,0,0
Salem,4150,Pittsgrove Twp,"838,537","18,069,458",1649,"1,408,523",90.9,64,4,59,1,1,1,29,0,0
Salem,4280,Quinton Twp,"209,903","3,329,109",281,"291,684",90.2,6,0,0,1,1,1,19,0,0
Salem,4630,Salem City,"281,682","20,836,774",1234,"723,650",91.9,28,0,38,0,1,0,68,0,1
Salem,4640,Salem County Vocational,0,"9,917,251",180,"820,449",98.3,9,0,35,0,1,0,25,0,0
Salem,5320,Upper Pittsgrove Twp,"271,073","2,623,580",341,"393,435",62,17,1,83,0,0,0,13,0,0
Salem,5910,Woodstown-Pilesgrove Reg,"376,448","8,675,911",1471,"1,010,872",91.5,0,2,12,1,1,0,17,0,0
Somerset,240,Bedminster Twp,"377,070","1,168,729",428,"792,551",94,0,0,0,1,0,1,11,1,0
Somerset,350,Bernards Twp,"2,359,395","7,379,157",4730,"5,449,732",94,40,3,29,0,0,1,2,1,0
Somerset,490,Bound Brook Boro,"155,401","30,312,611",1973.5,"2,241,787",88.9,24,2,99,1,1,1,68,0,0
Somerset,510,Branchburg Twp,"1,230,918","3,352,821",1369,"2,302,172",84.3,24.5,0,6,0,1,0,4,1,0
Somerset,555,Bridgewater-Raritan Reg,"2,578,842","13,554,948",7876,"9,163,399",93.8,131.5,8,90,0,1,1,11,1,1
Somerset,1610,Franklin Twp,"3,372,682","21,506,144",7228.5,"9,217,005",88,16,2,28,1,1,1,10,1,1
Somerset,1810,Green Brook Twp,"543,148","1,803,374",725,"1,275,630",85,382.5,31,1173.5,1,1,0,12,1,0
Somerset,2170,Hillsborough Twp,"968,117","20,642,528",7196,"4,540,393",95.3,7,5,25,1,1,1,10,1,1
Somerset,3000,Manville Boro,"109,380","21,022,232",1766.5,"2,045,536",90.8,288.5,25,189,0,0,1,52,0,0
